game_id,genre
3-ninjas-kick-back,Platform
3x3-eyes-juuma-houkan,Fighting
3x3-eyes-seima-kourinden,Fighting
4-nin-shougi,Strategy
7th-saga-the,RPG
90-minutes-european-prime-goal,Sports
a-ressha-de-ikou-3-super-version,Simulation
aaahh-real-monsters,Platform
abc-monday-night-football,Sports
accelebrid,Shooters
ace-wo-nerae,Sports
acme-animation-factory,Puzzle
acrobat-mission,Shooters
action-pachio,Platform
actraiser,Action
actraiser-2,Platform
add-eye-of-the-beholder,RPG
addams-family-the,Platform
addams-family-the-pugsleys-scavenger-hunt,Platform
addams-family-values,RPG
adventures-of-batman-robin-the,Action
adventures-of-dr-franken-the,Platform
adventures-of-kid-kleets-the,Platform
adventures-of-rocky-and-bullwinkle-and-friends-the,Platform
adventures-of-yogi-bear-[yogi-bears-cartoon-capers],Platform
aero-fighters,Shooters
aero-the-acro-bat,Platform
aero-the-acro-bat-2,Platform
aerobiz,Simulation
aerobiz-supersonic,Simulation
aging-cassette,Platform
air-cavalry,Shooters
akagawa-jirou-majo-tachi-no-nemuri,Adventure
akazukin-cha-cha,Platform
al-unser-jrs-road-to-the-top,Racing
aladdin,Platform
albert-odyssey,RPG
albert-odyssey-2-jashin-no-taidou,RPG
alcahest,RPG
alice-no-paint-adventure,Adventure
alien-3,Action
alien-vs-predator,Action
american-battle-dome,Fighting
american-gladiators,Sports
american-tail-an-fievel-goes-west,Platform
ancient-magic-bazoo-mahou-sekai,RPG
andre-agassi-tennis,Sports
angelique,Adventure
animaniacs,Platform
animaniacs-1995,Platform
aoki-densetsu-shoot,Sports
apocalypse-2,Action
appleseed-prometheus-no-shintaku,Shooters
arabian-nights-sabaku-no-seirei-ou,RPG
araiguma-rascal,Platform
arcana,RPG
archer-macleans-super-dropzone,Shooters
arcus-spirits,Action
ardy-lightfoot,Platform
aretha,RPG
aretha-2-ariel-no-fushigi-na-bouken,RPG
arkanoid-doh-it-again,Action
art-of-fighting,Fighting
aryol,Puzzle
asahi-shinbun-rensai-katou-hifumi-kudan-shogi-shingiryuu,Puzzle
asameshimae-nyanko,Fighting
ashita-no-joe,Fighting
asp-air-strike-patrol,Shooters
asterix,Platform
asterix-obelix,Platform
astrohawk,Shooters
axelay,Shooters
baby-t-rex,Platform
bahamut-lagoon,RPG
bakukyuu-renpatsu-super-b-daman,Platform
bakumatsu-kourinden-oni,RPG
bakutou-dodgers-bumps-shima-wa-oosawagi,Platform
ball-bullet-gun,Shooters
ballz-3d-fighting-at-its-ballziest,Fighting
barbarossa,Strategy
barbie-super-model,Platform
barbie-vacation-adventure,Adventure
barkley-shut-up-and-jam,Sports
bass-master-classic,Simulation
bass-masters-classic-pro-edition,Simulation
bassins-black-bass,Simulation
bastard-ankoku-no-hakaishin,Fighting
batman-forever,Action
batman-returns,Action
batman-revenge-of-the-joker,Action
battle-blaze,Fighting
battle-cars,Action
battle-cross,Racing
battle-dodgeball-ii,Sports
battle-dodgeball-toukyuu-daigekitotsu,Sports
battle-grand-prix,Racing
battle-jockey,Racing
battle-master-kyuukyoku-no-senshi-tachi,Fighting
battle-pinball,Action
battle-racers,Racing
battle-robot-retsuden,Strategy
battle-soccer-2,Sports
battle-soccer-field-no-hasha,Sports
battle-submarine,Strategy
battle-tycoon-flash-hiders-sfx,Fighting
battle-zeque-den,Fighting
battleclash,Shooters
battletoads-double-dragon-the-ultimate-team,Platform
