|      | game_id                                                             |   num_soundtracks |
|------|---------------------------------------------------------------------|-------------------|
|    0 | 3-ninjas-kick-back                                                  |                12 |
|    1 | 3x3-eyes-juuma-houkan                                               |                 7 |
|    2 | 3x3-eyes-seima-kourinden                                            |                 3 |
|    3 | 4-nin-shougi                                                        |                 4 |
|    4 | 7th-saga-the                                                        |                20 |
|    5 | 90-minutes-european-prime-goal                                      |                15 |
|    6 | a-ressha-de-ikou-3-super-version                                    |                 1 |
|    7 | aaahh-real-monsters                                                 |                15 |
|    8 | abc-monday-night-football                                           |                 8 |
|    9 | accelebrid                                                          |                17 |
|   10 | ace-wo-nerae                                                        |                 7 |
|   11 | acme-animation-factory                                              |                 6 |
|   12 | acrobat-mission                                                     |                17 |
|   13 | action-pachio                                                       |                15 |
|   14 | actraiser                                                           |                16 |
|   15 | actraiser-2                                                         |                13 |
|   16 | add-eye-of-the-beholder                                             |                 9 |
|   17 | addams-family-the                                                   |                12 |
|   18 | addams-family-the-pugsleys-scavenger-hunt                           |                 2 |
|   19 | addams-family-values                                                |                13 |
|   20 | adventures-of-batman-robin-the                                      |                24 |
|   21 | adventures-of-dr-franken-the                                        |                 7 |
|   22 | adventures-of-kid-kleets-the                                        |                21 |
|   23 | adventures-of-rocky-and-bullwinkle-and-friends-the                  |                15 |
|   24 | adventures-of-yogi-bear-[yogi-bears-cartoon-capers]                 |                12 |
|   25 | aero-fighters                                                       |                14 |
|   26 | aero-the-acro-bat                                                   |                21 |
|   27 | aero-the-acro-bat-2                                                 |                18 |
|   28 | aerobiz                                                             |                17 |
|   29 | aerobiz-supersonic                                                  |                19 |
|   30 | aging-cassette                                                      |                 1 |
|   31 | air-cavalry                                                         |                 2 |
|   32 | akagawa-jirou-majo-tachi-no-nemuri                                  |                 9 |
|   33 | akazukin-cha-cha                                                    |                15 |
|   34 | al-unser-jrs-road-to-the-top                                        |                 3 |
|   35 | aladdin                                                             |                25 |
|   36 | albert-odyssey                                                      |                 5 |
|   37 | albert-odyssey-2-jashin-no-taidou                                   |                 4 |
|   38 | alcahest                                                            |                24 |
|   39 | alice-no-paint-adventure                                            |                18 |
|   40 | alien-3                                                             |                11 |
|   41 | alien-vs-predator                                                   |                12 |
|   42 | american-battle-dome                                                |                15 |
|   43 | american-gladiators                                                 |                 4 |
|   44 | american-tail-an-fievel-goes-west                                   |                11 |
|   45 | ancient-magic-bazoo-mahou-sekai                                     |                18 |
|   46 | andre-agassi-tennis                                                 |                 1 |
|   47 | angelique                                                           |                26 |
|   48 | animaniacs                                                          |                22 |
|   49 | animaniacs-1995                                                     |                19 |
|   50 | aoki-densetsu-shoot                                                 |                11 |
|   51 | apocalypse-2                                                        |                 1 |
|   52 | appleseed-prometheus-no-shintaku                                    |                15 |
|   53 | arabian-nights-sabaku-no-seirei-ou                                  |                29 |
|   54 | araiguma-rascal                                                     |                 5 |
|   55 | arcana                                                              |                30 |
|   56 | archer-macleans-super-dropzone                                      |                 1 |
|   57 | arcus-spirits                                                       |                15 |
|   58 | ardy-lightfoot                                                      |                28 |
|   59 | aretha                                                              |                18 |
|   60 | aretha-2-ariel-no-fushigi-na-bouken                                 |                 6 |
|   61 | arkanoid-doh-it-again                                               |                 8 |
|   62 | art-of-fighting                                                     |                22 |
|   63 | aryol                                                               |                25 |
|   64 | asahi-shinbun-rensai-katou-hifumi-kudan-shogi-shingiryuu            |                 4 |
|   65 | asameshimae-nyanko                                                  |                 1 |
|   66 | ashita-no-joe                                                       |                11 |
|   67 | asp-air-strike-patrol                                               |                17 |
|   68 | asterix                                                             |                10 |
|   69 | asterix-obelix                                                      |                26 |
|   70 | astrohawk                                                           |                 2 |
|   71 | axelay                                                              |                17 |
|   72 | bahamut-lagoon                                                      |                32 |
|   73 | bakukyuu-renpatsu-super-b-daman                                     |                15 |
|   74 | bakumatsu-kourinden-oni                                             |                 1 |
|   75 | bakutou-dodgers-bumps-shima-wa-oosawagi                             |                 4 |
|   76 | ball-bullet-gun                                                     |                 7 |
|   77 | ballz-3d-fighting-at-its-ballziest                                  |                 5 |
|   78 | barbie-super-model                                                  |                 9 |
|   79 | barbie-vacation-adventure                                           |                 9 |
|   80 | barkley-shut-up-and-jam                                             |                 4 |
|   81 | bass-master-classic                                                 |                 2 |
|   82 | bassins-black-bass                                                  |                 5 |
|   83 | bastard-ankoku-no-hakaishin                                         |                12 |
|   84 | batman-forever                                                      |                 9 |
|   85 | batman-returns                                                      |                27 |
|   86 | batman-revenge-of-the-joker                                         |                 3 |
|   87 | battle-blaze                                                        |                10 |
|   88 | battle-cars                                                         |                 9 |
|   89 | battle-cross                                                        |                15 |
|   90 | battle-dodgeball-ii                                                 |                13 |
|   91 | battle-dodgeball-toukyuu-daigekitotsu                               |                12 |
|   92 | battle-grand-prix                                                   |                12 |
|   93 | battle-jockey                                                       |                12 |
|   94 | battle-master-kyuukyoku-no-senshi-tachi                             |                15 |
|   95 | battle-pinball                                                      |                13 |
|   96 | battle-racers                                                       |                15 |
|   97 | battle-robot-retsuden                                               |                24 |
|   98 | battle-soccer-2                                                     |                 4 |
|   99 | battle-soccer-field-no-hasha                                        |                 5 |
|  100 | battle-submarine                                                    |                 3 |
|  101 | battle-tycoon-flash-hiders-sfx                                      |                17 |
|  102 | battle-zeque-den                                                    |                17 |
|  103 | battleclash                                                         |                19 |
|  104 | battletoads-double-dragon-the-ultimate-team                         |                10 |
|  105 | battletoads-in-battlemaniacs                                        |                 6 |
|  106 | bazooka-blitzkrieg                                                  |                 6 |
|  107 | beauty-and-the-beast                                                |                20 |
|  108 | beavis-and-butt-head                                                |                18 |
|  109 | bebes-kids                                                          |                14 |
|  110 | beethoven-the-ultimate-canine-caper                                 |                 5 |
|  111 | benkei-gaiden-suna-no-shou                                          |                32 |
|  112 | best-of-the-best-championship-karate                                |                 5 |
|  113 | big-sky-trooper                                                     |                 8 |
|  114 | biker-mice-from-mars                                                |                16 |
|  115 | bill-laimbeers-combat-basketball                                    |                 6 |
