|      | game_id                                                             |   num_videos |
|------|---------------------------------------------------------------------|--------------|
|    0 | 3-ninjas-kick-back                                                  |           71 |
|    1 | 3x3-eyes-juuma-houkan                                               |           62 |
|    2 | 3x3-eyes-seima-kourinden                                            |            3 |
|    3 | 4-nin-shougi                                                        |           24 |
|    4 | 7th-saga-the                                                        |           20 |
|    5 | 90-minutes-european-prime-goal                                      |           98 |
|    6 | a-ressha-de-ikou-3-super-version                                    |            9 |
|    7 | aaahh-real-monsters                                                 |           39 |
|    8 | abc-monday-night-football                                           |           44 |
|    9 | accelebrid                                                          |           40 |
|   10 | ace-wo-nerae                                                        |           33 |
|   11 | acme-animation-factory                                              |           73 |
|   12 | acrobat-mission                                                     |           30 |
|   13 | action-pachio                                                       |           30 |
|   14 | actraiser                                                           |          114 |
|   15 | actraiser-2                                                         |           49 |
|   16 | add-eye-of-the-beholder                                             |          149 |
|   17 | addams-family-the                                                   |           46 |
|   18 | addams-family-the-pugsleys-scavenger-hunt                           |            2 |
|   19 | addams-family-values                                                |           37 |
|   20 | adventures-of-batman-robin-the                                      |           67 |
|   21 | adventures-of-dr-franken-the                                        |           33 |
|   22 | adventures-of-kid-kleets-the                                        |           38 |
|   23 | adventures-of-rocky-and-bullwinkle-and-friends-the                  |           28 |
|   24 | adventures-of-yogi-bear-[yogi-bears-cartoon-capers]                 |           42 |
|   25 | aero-fighters                                                       |           14 |
|   26 | aero-the-acro-bat                                                   |           63 |
|   27 | aero-the-acro-bat-2                                                 |           87 |
|   28 | aerobiz-supersonic                                                  |          209 |
|   29 | aging-cassette                                                      |            1 |
|   30 | air-cavalry                                                         |          148 |
|   31 | akagawa-jirou-majo-tachi-no-nemuri                                  |           21 |
|   32 | al-unser-jrs-road-to-the-top                                        |           17 |
|   33 | aladdin                                                             |           25 |
|   34 | albert-odyssey                                                      |            5 |
|   35 | albert-odyssey-2-jashin-no-taidou                                   |            4 |
|   36 | alcahest                                                            |           24 |
|   37 | alice-no-paint-adventure                                            |           44 |
|   38 | alien-3                                                             |          147 |
|   39 | alien-vs-predator                                                   |           73 |
|   40 | american-battle-dome                                                |           51 |
|   41 | american-gladiators                                                 |           44 |
|   42 | american-tail-an-fievel-goes-west                                   |           21 |
|   43 | ancient-magic-bazoo-mahou-sekai                                     |          110 |
|   44 | andre-agassi-tennis                                                 |            4 |
|   45 | angelique                                                           |          411 |
|   46 | animaniacs                                                          |           22 |
|   47 | animaniacs-1995                                                     |           19 |
|   48 | aoki-densetsu-shoot                                                 |           71 |
|   49 | apocalypse-2                                                        |            8 |
|   50 | araiguma-rascal                                                     |            5 |
|   51 | arcana                                                              |          123 |
|   52 | archer-macleans-super-dropzone                                      |            2 |
|   53 | arcus-spirits                                                       |           73 |
|   54 | ardy-lightfoot                                                      |           28 |
|   55 | aretha                                                              |           18 |
|   56 | aretha-2-ariel-no-fushigi-na-bouken                                 |            6 |
|   57 | arkanoid-doh-it-again                                               |           21 |
|   58 | art-of-fighting                                                     |           22 |
|   59 | aryol                                                               |          181 |
|   60 | asahi-shinbun-rensai-katou-hifumi-kudan-shogi-shingiryuu            |           10 |
|   61 | asameshimae-nyanko                                                  |            1 |
|   62 | ashita-no-joe                                                       |           22 |
|   63 | asp-air-strike-patrol                                               |          152 |
|   64 | asterix                                                             |           10 |
|   65 | asterix-obelix                                                      |           69 |
|   66 | astrohawk                                                           |            3 |
|   67 | axelay                                                              |           26 |
|   68 | bahamut-lagoon                                                      |           91 |
|   69 | bakukyuu-renpatsu-super-b-daman                                     |           36 |
|   70 | bakumatsu-kourinden-oni                                             |            1 |
|   71 | bakutou-dodgers-bumps-shima-wa-oosawagi                             |            4 |
|   72 | ball-bullet-gun                                                     |           20 |
|   73 | ballz-3d-fighting-at-its-ballziest                                  |            5 |
|   74 | barbie-super-model                                                  |            9 |
|   75 | barbie-vacation-adventure                                           |           77 |
|   76 | barkley-shut-up-and-jam                                             |           13 |
|   77 | bass-master-classic                                                 |           15 |
|   78 | bassins-black-bass                                                  |           22 |
|   79 | bastard-ankoku-no-hakaishin                                         |           60 |
|   80 | batman-returns                                                      |           47 |
|   81 | batman-revenge-of-the-joker                                         |            3 |
|   82 | battle-blaze                                                        |           18 |
|   83 | battle-cars                                                         |           99 |
|   84 | battle-cross                                                        |           57 |
|   85 | battle-dodgeball-ii                                                 |           64 |
|   86 | battle-dodgeball-toukyuu-daigekitotsu                               |           50 |
|   87 | battle-grand-prix                                                   |          300 |
|   88 | battle-jockey                                                       |           31 |
|   89 | battle-master-kyuukyoku-no-senshi-tachi                             |           28 |
|   90 | battle-pinball                                                      |           33 |
|   91 | battle-racers                                                       |           90 |
|   92 | battle-robot-retsuden                                               |          216 |
|   93 | battle-soccer-2                                                     |            7 |
|   94 | battle-soccer-field-no-hasha                                        |           89 |
|   95 | battle-submarine                                                    |            3 |
|   96 | battle-tycoon-flash-hiders-sfx                                      |           86 |
|   97 | battle-zeque-den                                                    |           81 |
|   98 | battleclash                                                         |           31 |
