|      | game_id                                                             |   num_videos |
|------|---------------------------------------------------------------------|--------------|
|    0 | 3x3-eyes-juuma-houkan                                               |           62 |
|    1 | 3x3-eyes-seima-kourinden                                            |            3 |
|    2 | 4-nin-shougi                                                        |           24 |
|    3 | 7th-saga-the                                                        |           20 |
|    4 | a-ressha-de-ikou-3-super-version                                    |            9 |
|    5 | aaahh-real-monsters                                                 |           39 |
|    6 | abc-monday-night-football                                           |           44 |
|    7 | accelebrid                                                          |           40 |
|    8 | ace-wo-nerae                                                        |           33 |
|    9 | acme-animation-factory                                              |           73 |
|   10 | acrobat-mission                                                     |           30 |
|   11 | action-pachio                                                       |           30 |
|   12 | actraiser-2                                                         |           49 |
|   13 | addams-family-the                                                   |           46 |
|   14 | addams-family-the-pugsleys-scavenger-hunt                           |            2 |
|   15 | addams-family-values                                                |           37 |
|   16 | adventures-of-batman-robin-the                                      |           67 |
|   17 | adventures-of-dr-franken-the                                        |           33 |
|   18 | adventures-of-kid-kleets-the                                        |           38 |
|   19 | adventures-of-rocky-and-bullwinkle-and-friends-the                  |           28 |
|   20 | adventures-of-yogi-bear-[yogi-bears-cartoon-capers]                 |           42 |
|   21 | aero-fighters                                                       |           14 |
|   22 | aerobiz-supersonic                                                  |          209 |
|   23 | aging-cassette                                                      |            1 |
|   24 | akagawa-jirou-majo-tachi-no-nemuri                                  |           21 |
|   25 | al-unser-jrs-road-to-the-top                                        |           17 |
|   26 | aladdin                                                             |           25 |
|   27 | albert-odyssey                                                      |            5 |
|   28 | albert-odyssey-2-jashin-no-taidou                                   |            4 |
|   29 | alcahest                                                            |           24 |
|   30 | alice-no-paint-adventure                                            |           44 |
|   31 | alien-vs-predator                                                   |           73 |
|   32 | american-battle-dome                                                |           51 |
|   33 | american-gladiators                                                 |           44 |
|   34 | american-tail-an-fievel-goes-west                                   |           21 |
|   35 | ancient-magic-bazoo-mahou-sekai                                     |          110 |
|   36 | andre-agassi-tennis                                                 |            4 |
|   37 | angelique                                                           |          411 |
|   38 | animaniacs                                                          |           22 |
|   39 | animaniacs-1995                                                     |           19 |
|   40 | aoki-densetsu-shoot                                                 |           71 |
|   41 | apocalypse-2                                                        |            8 |
|   42 | araiguma-rascal                                                     |            5 |
|   43 | arcana                                                              |          123 |
|   44 | archer-macleans-super-dropzone                                      |            2 |
|   45 | arcus-spirits                                                       |           73 |
|   46 | ardy-lightfoot                                                      |           28 |
|   47 | aretha                                                              |           18 |
|   48 | aretha-2-ariel-no-fushigi-na-bouken                                 |            6 |
|   49 | arkanoid-doh-it-again                                               |           21 |
|   50 | art-of-fighting                                                     |           22 |
|   51 | asahi-shinbun-rensai-katou-hifumi-kudan-shogi-shingiryuu            |           10 |
|   52 | asameshimae-nyanko                                                  |            1 |
|   53 | ashita-no-joe                                                       |           22 |
|   54 | asterix                                                             |           10 |
|   55 | astrohawk                                                           |            3 |
|   56 | axelay                                                              |           26 |
|   57 | bahamut-lagoon                                                      |           91 |
|   58 | bakukyuu-renpatsu-super-b-daman                                     |           36 |
|   59 | bakumatsu-kourinden-oni                                             |            1 |
|   60 | bakutou-dodgers-bumps-shima-wa-oosawagi                             |            4 |
|   61 | ball-bullet-gun                                                     |           20 |
|   62 | ballz-3d-fighting-at-its-ballziest                                  |            5 |
|   63 | barbie-super-model                                                  |            9 |
|   64 | barbie-vacation-adventure                                           |           77 |
|   65 | barkley-shut-up-and-jam                                             |           13 |
|   66 | bass-master-classic                                                 |           15 |
|   67 | bassins-black-bass                                                  |           22 |
|   68 | bastard-ankoku-no-hakaishin                                         |           60 |
|   69 | batman-returns                                                      |           47 |
|   70 | batman-revenge-of-the-joker                                         |            3 |
|   71 | battle-blaze                                                        |           18 |
|   72 | battle-cross                                                        |           57 |
|   73 | battle-dodgeball-ii                                                 |           64 |
|   74 | battle-dodgeball-toukyuu-daigekitotsu                               |           50 |
|   75 | battle-jockey                                                       |           31 |
|   76 | battle-master-kyuukyoku-no-senshi-tachi                             |           28 |
|   77 | battle-pinball                                                      |           33 |
|   78 | battle-racers                                                       |           90 |
|   79 | battle-soccer-2                                                     |            7 |
|   80 | battle-soccer-field-no-hasha                                        |           89 |
|   81 | battle-submarine                                                    |            3 |
|   82 | battle-zeque-den                                                    |           81 |
|   83 | battleclash                                                         |           31 |
|   84 | battletoads-double-dragon-the-ultimate-team                         |           10 |
|   85 | battletoads-in-battlemaniacs                                        |            6 |
|   86 | bazooka-blitzkrieg                                                  |           49 |
|   87 | beauty-and-the-beast                                                |           20 |
|   88 | beavis-and-butt-head                                                |           82 |
|   89 | bebes-kids                                                          |           33 |
|   90 | beethoven-the-ultimate-canine-caper                                 |           15 |
|   91 | benkei-gaiden-suna-no-shou                                          |          119 |
|   92 | best-of-the-best-championship-karate                                |           11 |
|   93 | big-sky-trooper                                                     |            8 |
|   94 | biker-mice-from-mars                                                |          135 |
|   95 | bill-walsh-college-football                                         |            8 |
|   96 | bing-bing-bingo                                                     |           22 |
|   97 | bio-metal                                                           |           34 |
|   98 | bishin-densetsu-zoku                                                |            7 |
