|      | game_id                                                             |   num_videos |
|------|---------------------------------------------------------------------|--------------|
|    0 | 3-ninjas-kick-back                                                  |           71 |
|    1 | 3x3-eyes-juuma-houkan                                               |           62 |
|    2 | 3x3-eyes-seima-kourinden                                            |            3 |
|    3 | 4-nin-shougi                                                        |           24 |
|    4 | 7th-saga-the                                                        |           20 |
|    5 | 90-minutes-european-prime-goal                                      |           98 |
|    6 | a-ressha-de-ikou-3-super-version                                    |            9 |
|    7 | aaahh-real-monsters                                                 |           39 |
|    8 | abc-monday-night-football                                           |           44 |
|    9 | accelebrid                                                          |           40 |
|   10 | ace-wo-nerae                                                        |           33 |
|   11 | acme-animation-factory                                              |           73 |
|   12 | acrobat-mission                                                     |           30 |
|   13 | action-pachio                                                       |           30 |
|   14 | actraiser                                                           |          114 |
|   15 | actraiser-2                                                         |           49 |
|   16 | add-eye-of-the-beholder                                             |          149 |
|   17 | addams-family-the                                                   |           46 |
|   18 | addams-family-the-pugsleys-scavenger-hunt                           |            2 |
|   19 | addams-family-values                                                |           37 |
|   20 | adventures-of-batman-robin-the                                      |           67 |
|   21 | adventures-of-dr-franken-the                                        |           33 |
|   22 | adventures-of-kid-kleets-the                                        |           38 |
|   23 | adventures-of-rocky-and-bullwinkle-and-friends-the                  |           28 |
|   24 | adventures-of-yogi-bear-[yogi-bears-cartoon-capers]                 |           42 |
|   25 | aero-fighters                                                       |           14 |
|   26 | aero-the-acro-bat                                                   |           63 |
|   27 | aero-the-acro-bat-2                                                 |           87 |
|   28 | aerobiz                                                             |          184 |
|   29 | aerobiz-supersonic                                                  |          209 |
|   30 | aging-cassette                                                      |            1 |
|   31 | air-cavalry                                                         |          148 |
|   32 | akagawa-jirou-majo-tachi-no-nemuri                                  |           21 |
|   33 | akazukin-cha-cha                                                    |          173 |
|   34 | al-unser-jrs-road-to-the-top                                        |           17 |
|   35 | aladdin                                                             |           25 |
|   36 | albert-odyssey                                                      |            5 |
|   37 | albert-odyssey-2-jashin-no-taidou                                   |            4 |
|   38 | alcahest                                                            |           24 |
|   39 | alice-no-paint-adventure                                            |           44 |
|   40 | alien-3                                                             |          147 |
|   41 | alien-vs-predator                                                   |           73 |
|   42 | american-battle-dome                                                |           51 |
|   43 | american-gladiators                                                 |           44 |
|   44 | american-tail-an-fievel-goes-west                                   |           21 |
|   45 | ancient-magic-bazoo-mahou-sekai                                     |          110 |
|   46 | andre-agassi-tennis                                                 |            4 |
|   47 | angelique                                                           |          411 |
|   48 | animaniacs                                                          |           22 |
|   49 | animaniacs-1995                                                     |           19 |
|   50 | aoki-densetsu-shoot                                                 |           71 |
|   51 | apocalypse-2                                                        |            8 |
|   52 | appleseed-prometheus-no-shintaku                                    |          124 |
|   53 | arabian-nights-sabaku-no-seirei-ou                                  |          173 |
|   54 | araiguma-rascal                                                     |            5 |
|   55 | arcana                                                              |          123 |
|   56 | archer-macleans-super-dropzone                                      |            2 |
|   57 | arcus-spirits                                                       |           73 |
|   58 | ardy-lightfoot                                                      |           28 |
|   59 | aretha                                                              |           18 |
|   60 | aretha-2-ariel-no-fushigi-na-bouken                                 |            6 |
|   61 | arkanoid-doh-it-again                                               |           21 |
|   62 | art-of-fighting                                                     |           22 |
|   63 | aryol                                                               |          181 |
|   64 | asahi-shinbun-rensai-katou-hifumi-kudan-shogi-shingiryuu            |           10 |
|   65 | asameshimae-nyanko                                                  |            1 |
|   66 | ashita-no-joe                                                       |           22 |
|   67 | asp-air-strike-patrol                                               |          152 |
|   68 | asterix                                                             |           10 |
|   69 | asterix-obelix                                                      |           69 |
|   70 | astrohawk                                                           |            3 |
|   71 | axelay                                                              |           26 |
|   72 | bahamut-lagoon                                                      |           91 |
|   73 | bakukyuu-renpatsu-super-b-daman                                     |           36 |
|   74 | bakumatsu-kourinden-oni                                             |            1 |
|   75 | bakutou-dodgers-bumps-shima-wa-oosawagi                             |            4 |
|   76 | ball-bullet-gun                                                     |           20 |
|   77 | ballz-3d-fighting-at-its-ballziest                                  |            5 |
|   78 | barbie-super-model                                                  |            9 |
|   79 | barbie-vacation-adventure                                           |           77 |
|   80 | barkley-shut-up-and-jam                                             |           13 |
|   81 | bass-master-classic                                                 |           15 |
|   82 | bassins-black-bass                                                  |           22 |
|   83 | bastard-ankoku-no-hakaishin                                         |           60 |
|   84 | batman-forever                                                      |          140 |
|   85 | batman-returns                                                      |           47 |
|   86 | batman-revenge-of-the-joker                                         |            3 |
|   87 | battle-blaze                                                        |           18 |
|   88 | battle-cars                                                         |           99 |
|   89 | battle-cross                                                        |           57 |
|   90 | battle-dodgeball-ii                                                 |           64 |
|   91 | battle-dodgeball-toukyuu-daigekitotsu                               |           50 |
|   92 | battle-grand-prix                                                   |          300 |
|   93 | battle-jockey                                                       |           31 |
|   94 | battle-master-kyuukyoku-no-senshi-tachi                             |           28 |
|   95 | battle-pinball                                                      |           33 |
|   96 | battle-racers                                                       |           90 |
|   97 | battle-robot-retsuden                                               |          216 |
|   98 | battle-soccer-2                                                     |            7 |
