|      | game_id                                                             |   num_soundtracks |
|------|---------------------------------------------------------------------|-------------------|
|    0 | 3-ninjas-kick-back                                                  |                12 |
|    1 | 3x3-eyes-juuma-houkan                                               |                 7 |
|    2 | 3x3-eyes-seima-kourinden                                            |                 3 |
|    3 | 4-nin-shougi                                                        |                 4 |
|    4 | 7th-saga-the                                                        |                20 |
|    5 | 90-minutes-european-prime-goal                                      |                15 |
|    6 | Platform                                                            |                 0 |
|    7 | a-ressha-de-ikou-3-super-version                                    |                 1 |
|    8 | aaahh-real-monsters                                                 |                15 |
|    9 | abc-monday-night-football                                           |                 8 |
|   10 | accelebrid                                                          |                17 |
|   11 | ace-wo-nerae                                                        |                 7 |
|   12 | acme-animation-factory                                              |                 6 |
|   13 | acrobat-mission                                                     |                17 |
|   14 | action-pachio                                                       |                15 |
|   15 | actraiser                                                           |                16 |
|   16 | actraiser-2                                                         |                13 |
|   17 | add-eye-of-the-beholder                                             |                 9 |
|   18 | addams-family-the                                                   |                12 |
|   19 | addams-family-the-pugsleys-scavenger-hunt                           |                 2 |
|   20 | addams-family-values                                                |                13 |
|   21 | adventures-of-batman-robin-the                                      |                24 |
|   22 | adventures-of-dr-franken-the                                        |                 7 |
|   23 | adventures-of-kid-kleets-the                                        |                21 |
|   24 | adventures-of-rocky-and-bullwinkle-and-friends-the                  |                15 |
|   25 | adventures-of-yogi-bear-[yogi-bears-cartoon-capers]                 |                12 |
|   26 | aero-fighters                                                       |                14 |
|   27 | aero-the-acro-bat                                                   |                21 |
|   28 | aero-the-acro-bat-2                                                 |                18 |
|   29 | aerobiz                                                             |                17 |
|   30 | aerobiz-supersonic                                                  |                19 |
|   31 | aging-cassette                                                      |                 1 |
|   32 | air-cavalry                                                         |                 2 |
|   33 | akagawa-jirou-majo-tachi-no-nemuri                                  |                 9 |
|   34 | akazukin-cha-cha                                                    |                15 |
|   35 | al-unser-jrs-road-to-the-top                                        |                 3 |
|   36 | aladdin                                                             |                25 |
|   37 | albert-odyssey                                                      |                 5 |
|   38 | albert-odyssey-2-jashin-no-taidou                                   |                 4 |
|   39 | alcahest                                                            |                24 |
|   40 | alice-no-paint-adventure                                            |                18 |
|   41 | alien-3                                                             |                11 |
|   42 | alien-vs-predator                                                   |                12 |
|   43 | american-battle-dome                                                |                15 |
|   44 | american-gladiators                                                 |                 4 |
|   45 | american-tail-an-fievel-goes-west                                   |                11 |
|   46 | ancient-magic-bazoo-mahou-sekai                                     |                18 |
|   47 | andre-agassi-tennis                                                 |                 1 |
|   48 | angelique                                                           |                26 |
|   49 | animaniacs                                                          |                22 |
|   50 | animaniacs-1995                                                     |                19 |
|   51 | aoki-densetsu-shoot                                                 |                11 |
|   52 | apocalypse-2                                                        |                 1 |
|   53 | appleseed-prometheus-no-shintaku                                    |                15 |
|   54 | arabian-nights-sabaku-no-seirei-ou                                  |                29 |
|   55 | araiguma-rascal                                                     |                 5 |
|   56 | arcana                                                              |                30 |
|   57 | archer-macleans-super-dropzone                                      |                 1 |
|   58 | arcus-spirits                                                       |                15 |
|   59 | ardy-lightfoot                                                      |                28 |
|   60 | aretha                                                              |                18 |
|   61 | aretha-2-ariel-no-fushigi-na-bouken                                 |                 6 |
|   62 | arkanoid-doh-it-again                                               |                 8 |
|   63 | art-of-fighting                                                     |                22 |
|   64 | aryol                                                               |                25 |
|   65 | asahi-shinbun-rensai-katou-hifumi-kudan-shogi-shingiryuu            |                 4 |
|   66 | asameshimae-nyanko                                                  |                 1 |
|   67 | ashita-no-joe                                                       |                11 |
|   68 | asp-air-strike-patrol                                               |                17 |
|   69 | asterix                                                             |                10 |
|   70 | asterix-obelix                                                      |                26 |
|   71 | astrohawk                                                           |                 2 |
|   72 | axelay                                                              |                17 |
|   73 | bahamut-lagoon                                                      |                32 |
|   74 | bakukyuu-renpatsu-super-b-daman                                     |                15 |
|   75 | bakumatsu-kourinden-oni                                             |                 1 |
|   76 | bakutou-dodgers-bumps-shima-wa-oosawagi                             |                 4 |
|   77 | ball-bullet-gun                                                     |                 7 |
|   78 | ballz-3d-fighting-at-its-ballziest                                  |                 5 |
|   79 | barbie-super-model                                                  |                 9 |
|   80 | barbie-vacation-adventure                                           |                 9 |
|   81 | barkley-shut-up-and-jam                                             |                 4 |
|   82 | bass-master-classic                                                 |                 2 |
|   83 | bassins-black-bass                                                  |                 5 |
|   84 | bastard-ankoku-no-hakaishin                                         |                12 |
|   85 | batman-forever                                                      |                 9 |
|   86 | batman-returns                                                      |                27 |
|   87 | batman-revenge-of-the-joker                                         |                 3 |
|   88 | battle-blaze                                                        |                10 |
|   89 | battle-cars                                                         |                 9 |
|   90 | battle-cross                                                        |                15 |
|   91 | battle-dodgeball-ii                                                 |                13 |
|   92 | battle-dodgeball-toukyuu-daigekitotsu                               |                12 |
|   93 | battle-grand-prix                                                   |                12 |
|   94 | battle-jockey                                                       |                12 |
|   95 | battle-master-kyuukyoku-no-senshi-tachi                             |                15 |
|   96 | battle-pinball                                                      |                13 |
|   97 | battle-racers                                                       |                15 |
|   98 | battle-robot-retsuden                                               |                24 |
|   99 | battle-soccer-2                                                     |                 4 |
|  100 | battle-soccer-field-no-hasha                                        |                 5 |
|  101 | battle-submarine                                                    |                 3 |
|  102 | battle-tycoon-flash-hiders-sfx                                      |                17 |
|  103 | battle-zeque-den                                                    |                17 |
|  104 | battleclash                                                         |                19 |
|  105 | battletoads-double-dragon-the-ultimate-team                         |                10 |
|  106 | battletoads-in-battlemaniacs                                        |                 6 |
|  107 | bazooka-blitzkrieg                                                  |                 6 |
|  108 | beauty-and-the-beast                                                |                20 |
|  109 | beavis-and-butt-head                                                |                18 |
|  110 | bebes-kids                                                          |                14 |
|  111 | beethoven-the-ultimate-canine-caper                                 |                 5 |
|  112 | benkei-gaiden-suna-no-shou                                          |                32 |
|  113 | best-of-the-best-championship-karate                                |                 5 |
|  114 | big-sky-trooper                                                     |                 8 |
|  115 | biker-mice-from-mars                                                |                16 |
|  116 | bill-laimbeers-combat-basketball                                    |                 6 |
