|      | game_id                                                             |   num_videos |
|------|---------------------------------------------------------------------|--------------|
|    0 | 3-ninjas-kick-back                                                  |          296 |
|    1 | 3x3-eyes-juuma-houkan                                               |          127 |
|    2 | 3x3-eyes-seima-kourinden                                            |            6 |
|    3 | 4-nin-shougi                                                        |           55 |
|    4 | 7th-saga-the                                                        |          247 |
|    5 | 90-minutes-european-prime-goal                                      |          244 |
|    6 | a-ressha-de-ikou-3-super-version                                    |            9 |
|    7 | aaahh-real-monsters                                                 |          229 |
|    8 | abc-monday-night-football                                           |           96 |
|    9 | accelebrid                                                          |           77 |
|   10 | ace-wo-nerae                                                        |           53 |
|   11 | acme-animation-factory                                              |          128 |
|   12 | acrobat-mission                                                     |           62 |
|   13 | action-pachio                                                       |          148 |
|   14 | actraiser                                                           |          418 |
|   15 | actraiser-2                                                         |          211 |
|   16 | add-eye-of-the-beholder                                             |         1508 |
|   17 | addams-family-the                                                   |          212 |
|   18 | addams-family-the-pugsleys-scavenger-hunt                           |           11 |
|   19 | addams-family-values                                                |          323 |
|   20 | adventures-of-batman-robin-the                                      |          191 |
|   21 | adventures-of-dr-franken-the                                        |          145 |
|   22 | adventures-of-kid-kleets-the                                        |          184 |
|   23 | adventures-of-rocky-and-bullwinkle-and-friends-the                  |          139 |
|   24 | adventures-of-yogi-bear-[yogi-bears-cartoon-capers]                 |          202 |
|   25 | aero-fighters                                                       |           29 |
|   26 | aero-the-acro-bat                                                   |          316 |
|   27 | aero-the-acro-bat-2                                                 |          373 |
|   28 | aerobiz-supersonic                                                  |          349 |
|   29 | aging-cassette                                                      |            1 |
|   30 | air-cavalry                                                         |          202 |
|   31 | akagawa-jirou-majo-tachi-no-nemuri                                  |           31 |
|   32 | al-unser-jrs-road-to-the-top                                        |           22 |
|   33 | aladdin                                                             |          107 |
|   34 | albert-odyssey                                                      |            5 |
|   35 | albert-odyssey-2-jashin-no-taidou                                   |            6 |
|   36 | alcahest                                                            |          272 |
|   37 | alice-no-paint-adventure                                            |           58 |
|   38 | alien-3                                                             |          578 |
|   39 | alien-vs-predator                                                   |          184 |
|   40 | american-battle-dome                                                |          100 |
|   41 | american-gladiators                                                 |           87 |
|   42 | american-tail-an-fievel-goes-west                                   |           86 |
|   43 | ancient-magic-bazoo-mahou-sekai                                     |         1336 |
|   44 | andre-agassi-tennis                                                 |            6 |
|   45 | angelique                                                           |          946 |
|   46 | animaniacs                                                          |           74 |
|   47 | animaniacs-1995                                                     |           57 |
|   48 | aoki-densetsu-shoot                                                 |          190 |
|   49 | apocalypse-2                                                        |           18 |
|   50 | araiguma-rascal                                                     |           33 |
|   51 | arcana                                                              |         1304 |
|   52 | archer-macleans-super-dropzone                                      |            3 |
|   53 | arcus-spirits                                                       |          196 |
|   54 | ardy-lightfoot                                                      |          131 |
|   55 | aretha                                                              |          182 |
|   56 | aretha-2-ariel-no-fushigi-na-bouken                                 |           58 |
|   57 | arkanoid-doh-it-again                                               |           63 |
|   58 | art-of-fighting                                                     |           63 |
|   59 | aryol                                                               |          258 |
|   60 | asahi-shinbun-rensai-katou-hifumi-kudan-shogi-shingiryuu            |           14 |
|   61 | asameshimae-nyanko                                                  |            1 |
|   62 | ashita-no-joe                                                       |           42 |
|   63 | asp-air-strike-patrol                                               |          257 |
|   64 | asterix                                                             |           59 |
|   65 | asterix-obelix                                                      |          321 |
|   66 | astrohawk                                                           |            7 |
|   67 | axelay                                                              |           53 |
|   68 | bahamut-lagoon                                                      |          936 |
|   69 | bakukyuu-renpatsu-super-b-daman                                     |          175 |
|   70 | bakumatsu-kourinden-oni                                             |            2 |
|   71 | bakutou-dodgers-bumps-shima-wa-oosawagi                             |            6 |
|   72 | ball-bullet-gun                                                     |           42 |
|   73 | ballz-3d-fighting-at-its-ballziest                                  |           12 |
|   74 | barbie-super-model                                                  |           39 |
|   75 | barbie-vacation-adventure                                           |          121 |
|   76 | barkley-shut-up-and-jam                                             |           30 |
|   77 | bass-master-classic                                                 |           20 |
|   78 | bassins-black-bass                                                  |           37 |
|   79 | bastard-ankoku-no-hakaishin                                         |          137 |
|   80 | batman-returns                                                      |          118 |
|   81 | batman-revenge-of-the-joker                                         |            5 |
|   82 | battle-blaze                                                        |           49 |
|   83 | battle-cars                                                         |          215 |
|   84 | battle-cross                                                        |           96 |
|   85 | battle-dodgeball-ii                                                 |          130 |
|   86 | battle-dodgeball-toukyuu-daigekitotsu                               |           99 |
|   87 | battle-grand-prix                                                   |          410 |
|   88 | battle-jockey                                                       |           48 |
|   89 | battle-master-kyuukyoku-no-senshi-tachi                             |           51 |
|   90 | battle-pinball                                                      |           97 |
|   91 | battle-racers                                                       |          116 |
|   92 | battle-robot-retsuden                                               |          502 |
|   93 | battle-soccer-2                                                     |           13 |
|   94 | battle-soccer-field-no-hasha                                        |          323 |
|   95 | battle-submarine                                                    |            7 |
|   96 | battle-tycoon-flash-hiders-sfx                                      |          194 |
|   97 | battle-zeque-den                                                    |          194 |
|   98 | battleclash                                                         |           68 |
|   99 | battletoads-double-dragon-the-ultimate-team                         |           57 |
|  100 | battletoads-in-battlemaniacs                                        |            9 |
|  101 | bazooka-blitzkrieg                                                  |           79 |
|  102 | beauty-and-the-beast                                                |          102 |
|  103 | beavis-and-butt-head                                                |          128 |
|  104 | bebes-kids                                                          |          104 |
|  105 | beethoven-the-ultimate-canine-caper                                 |           58 |
|  106 | benkei-gaiden-suna-no-shou                                          |         1277 |
|  107 | best-of-the-best-championship-karate                                |           45 |
|  108 | big-sky-trooper                                                     |           26 |
|  109 | biker-mice-from-mars                                                |          227 |
|  110 | bill-laimbeers-combat-basketball                                    |         1398 |
|  111 | bill-walsh-college-football                                         |           22 |
|  112 | bing-bing-bingo                                                     |           35 |
|  113 | bio-metal                                                           |           68 |
|  114 | bishin-densetsu-zoku                                                |            9 |
|  115 | bishoujo-janshi-suchie-pai                                          |           15 |
|  116 | bishoujo-senshi-sailor-moon                                         |          224 |
|  117 | bishoujo-senshi-sailor-moon-r                                       |          120 |
|  118 | bishoujo-senshi-sailor-moon-s-juugai-rantou-shuyaku-soudatsusen     |           65 |
|  119 | bishoujo-senshi-sailor-moon-s-kondo-wa-puzzle-de-oshioki-yo         |            7 |
|  120 | bishoujo-senshi-sailor-moon-s-kurukkurin                            |           56 |
|  121 | bishoujo-senshi-sailor-moon-super-s-fuwa-fuwa-panic                 |          118 |
|  122 | bishoujo-senshi-sailor-moon-super-s-zenin-sanka-shuyaku-soudatsusen |           46 |
|  123 | bishoujo-wrestler-retsuden-blizzard-yuki-rannyuu                    |           16 |
|  124 | blazeon-the-bio-cyborg-challenge                                    |          122 |
|  125 | block-kuzushi                                                       |          288 |
|  126 | blues-brothers-the                                                  |           81 |
|  127 | bob                                                                 |          375 |
|  128 | bobbys-world                                                        |           71 |
|  129 | bomberman-b-daman                                                   |          131 |
|  130 | bonkers                                                             |           77 |
|  131 | boogerman-a-pick-and-flick-adventure                                |          140 |
|  132 | bouncing-ball-trainer                                               |            7 |
|  133 | bounty-sword                                                        |           21 |
|  134 | boxing-legends-of-the-ring-[chavez-ii]                              |          154 |
|  135 | brain-lord                                                          |          400 |
|  136 | brainies-the                                                        |          321 |
|  137 | bram-stokers-dracula                                                |            5 |
|  138 | brandish-2-the-planet-buster                                        |          158 |
|  139 | brawl-brothers                                                      |           55 |
|  140 | breakthru                                                           |           11 |
|  141 | breath-of-fire                                                      |          406 |
|  142 | breath-of-fire-2                                                    |         1499 |
|  143 | brett-hull-hockey                                                   |           28 |
|  144 | brett-hull-hockey-95                                                |            8 |
|  145 | bronkie-the-bronchiasaurus                                          |          274 |
|  146 | brunswick-world-tournament-of-champions                             |          189 |
|  147 | brutal-paws-of-fury                                                 |           53 |
|  148 | bs-bdash                                                            |            5 |
|  149 | bs-busters-digital-magazine                                         |           12 |
|  150 | bs-dan-dan-belt-conveyor-milk-no-maki                               |            8 |
