|       | game_id                                                             | soundtrack      |   num_videos |
|-------|---------------------------------------------------------------------|-----------------|--------------|
|     0 | 3x3-eyes-juuma-houkan                                               | soundtrack_0001 |           25 |
|     1 | 3x3-eyes-juuma-houkan                                               | soundtrack_0002 |            2 |
|     2 | 3x3-eyes-juuma-houkan                                               | soundtrack_0003 |           19 |
|     3 | 3x3-eyes-juuma-houkan                                               | soundtrack_0004 |           43 |
|     4 | 3x3-eyes-juuma-houkan                                               | soundtrack_0005 |           16 |
|     5 | 3x3-eyes-juuma-houkan                                               | soundtrack_0007 |           10 |
|     6 | 3x3-eyes-juuma-houkan                                               | soundtrack_0008 |           12 |
|     7 | 3x3-eyes-seima-kourinden                                            | soundtrack_0002 |            1 |
|     8 | 3x3-eyes-seima-kourinden                                            | soundtrack_0007 |            4 |
|     9 | 3x3-eyes-seima-kourinden                                            | soundtrack_0022 |            1 |
|    10 | 4-nin-shougi                                                        | soundtrack_0001 |            3 |
|    11 | 4-nin-shougi                                                        | soundtrack_0003 |           20 |
|    12 | 4-nin-shougi                                                        | soundtrack_0009 |           27 |
|    13 | 4-nin-shougi                                                        | soundtrack_0010 |            5 |
|    14 | 7th-saga-the                                                        | soundtrack_0001 |           19 |
|    15 | 7th-saga-the                                                        | soundtrack_0003 |           14 |
|    16 | 7th-saga-the                                                        | soundtrack_0004 |            2 |
|    17 | 7th-saga-the                                                        | soundtrack_0005 |            2 |
|    18 | 7th-saga-the                                                        | soundtrack_0006 |           24 |
|    19 | 7th-saga-the                                                        | soundtrack_0010 |            1 |
|    20 | 7th-saga-the                                                        | soundtrack_0011 |            4 |
|    21 | 7th-saga-the                                                        | soundtrack_0012 |           24 |
|    22 | 7th-saga-the                                                        | soundtrack_0016 |           13 |
|    23 | 7th-saga-the                                                        | soundtrack_0019 |            5 |
|    24 | 7th-saga-the                                                        | soundtrack_0022 |           16 |
|    25 | 7th-saga-the                                                        | soundtrack_0025 |            2 |
|    26 | 7th-saga-the                                                        | soundtrack_0026 |            5 |
|    27 | 7th-saga-the                                                        | soundtrack_0027 |           64 |
|    28 | 7th-saga-the                                                        | soundtrack_0028 |           18 |
|    29 | 7th-saga-the                                                        | soundtrack_0029 |           17 |
|    30 | 7th-saga-the                                                        | soundtrack_0031 |            7 |
|    31 | 7th-saga-the                                                        | soundtrack_0032 |            4 |
|    32 | 7th-saga-the                                                        | soundtrack_0034 |            1 |
|    33 | 7th-saga-the                                                        | soundtrack_0035 |            5 |
|    34 | a-ressha-de-ikou-3-super-version                                    | soundtrack_0015 |            9 |
|    35 | aaahh-real-monsters                                                 | soundtrack_0001 |           36 |
|    36 | aaahh-real-monsters                                                 | soundtrack_0002 |            2 |
|    37 | aaahh-real-monsters                                                 | soundtrack_0003 |           15 |
|    38 | aaahh-real-monsters                                                 | soundtrack_0004 |           16 |
|    39 | aaahh-real-monsters                                                 | soundtrack_0005 |            1 |
|    40 | aaahh-real-monsters                                                 | soundtrack_0006 |           18 |
|    41 | aaahh-real-monsters                                                 | soundtrack_0007 |           23 |
|    42 | aaahh-real-monsters                                                 | soundtrack_0008 |           29 |
|    43 | aaahh-real-monsters                                                 | soundtrack_0009 |           14 |
|    44 | aaahh-real-monsters                                                 | soundtrack_0010 |           18 |
|    45 | aaahh-real-monsters                                                 | soundtrack_0011 |            1 |
|    46 | aaahh-real-monsters                                                 | soundtrack_0013 |            2 |
|    47 | aaahh-real-monsters                                                 | soundtrack_0014 |           11 |
|    48 | aaahh-real-monsters                                                 | soundtrack_0017 |            6 |
|    49 | aaahh-real-monsters                                                 | soundtrack_0018 |           37 |
|    50 | abc-monday-night-football                                           | soundtrack_0001 |            3 |
|    51 | abc-monday-night-football                                           | soundtrack_0002 |            3 |
|    52 | abc-monday-night-football                                           | soundtrack_0004 |            9 |
|    53 | abc-monday-night-football                                           | soundtrack_0006 |            4 |
|    54 | abc-monday-night-football                                           | soundtrack_0007 |            4 |
|    55 | abc-monday-night-football                                           | soundtrack_0008 |            7 |
|    56 | abc-monday-night-football                                           | soundtrack_0009 |           59 |
|    57 | abc-monday-night-football                                           | soundtrack_0010 |            7 |
|    58 | accelebrid                                                          | soundtrack_0001 |            1 |
|    59 | accelebrid                                                          | soundtrack_0002 |           11 |
|    60 | accelebrid                                                          | soundtrack_0003 |            8 |
|    61 | accelebrid                                                          | soundtrack_0004 |            2 |
|    62 | accelebrid                                                          | soundtrack_0005 |            1 |
|    63 | accelebrid                                                          | soundtrack_0006 |            9 |
|    64 | accelebrid                                                          | soundtrack_0008 |            8 |
|    65 | accelebrid                                                          | soundtrack_0009 |            2 |
|    66 | accelebrid                                                          | soundtrack_0010 |            3 |
|    67 | accelebrid                                                          | soundtrack_0011 |            8 |
|    68 | accelebrid                                                          | soundtrack_0012 |            4 |
|    69 | accelebrid                                                          | soundtrack_0013 |            2 |
|    70 | accelebrid                                                          | soundtrack_0014 |            6 |
|    71 | accelebrid                                                          | soundtrack_0015 |            1 |
|    72 | accelebrid                                                          | soundtrack_0016 |            3 |
|    73 | accelebrid                                                          | soundtrack_0017 |            7 |
|    74 | accelebrid                                                          | soundtrack_0018 |            1 |
|    75 | ace-wo-nerae                                                        | soundtrack_0002 |           10 |
|    76 | ace-wo-nerae                                                        | soundtrack_0004 |            3 |
|    77 | ace-wo-nerae                                                        | soundtrack_0005 |            6 |
|    78 | ace-wo-nerae                                                        | soundtrack_0007 |           11 |
|    79 | ace-wo-nerae                                                        | soundtrack_0008 |           10 |
|    80 | ace-wo-nerae                                                        | soundtrack_0009 |            8 |
|    81 | ace-wo-nerae                                                        | soundtrack_0012 |            5 |
|    82 | acme-animation-factory                                              | soundtrack_0005 |           14 |
|    83 | acme-animation-factory                                              | soundtrack_0006 |            1 |
|    84 | acme-animation-factory                                              | soundtrack_0010 |            7 |
|    85 | acme-animation-factory                                              | soundtrack_0011 |           59 |
|    86 | acme-animation-factory                                              | soundtrack_0013 |           38 |
|    87 | acme-animation-factory                                              | soundtrack_0014 |            9 |
|    88 | acrobat-mission                                                     | soundtrack_0001 |            1 |
|    89 | acrobat-mission                                                     | soundtrack_0002 |            2 |
|    90 | acrobat-mission                                                     | soundtrack_0003 |            2 |
|    91 | acrobat-mission                                                     | soundtrack_0005 |            7 |
|    92 | acrobat-mission                                                     | soundtrack_0006 |            2 |
|    93 | acrobat-mission                                                     | soundtrack_0007 |            1 |
|    94 | acrobat-mission                                                     | soundtrack_0008 |            5 |
|    95 | acrobat-mission                                                     | soundtrack_0009 |            4 |
|    96 | acrobat-mission                                                     | soundtrack_0010 |            2 |
|    97 | acrobat-mission                                                     | soundtrack_0011 |            1 |
|    98 | acrobat-mission                                                     | soundtrack_0012 |            5 |
