|      | game_id                                                             |   num_videos |
|------|---------------------------------------------------------------------|--------------|
|    0 | 3-ninjas-kick-back                                                  |          296 |
|    1 | 3x3-eyes-juuma-houkan                                               |          127 |
|    2 | 3x3-eyes-seima-kourinden                                            |            6 |
|    3 | 4-nin-shougi                                                        |           55 |
|    4 | 7th-saga-the                                                        |          247 |
|    5 | 90-minutes-european-prime-goal                                      |          244 |
|    6 | Platform                                                            |            0 |
|    7 | a-ressha-de-ikou-3-super-version                                    |            9 |
|    8 | aaahh-real-monsters                                                 |          229 |
|    9 | abc-monday-night-football                                           |           96 |
|   10 | accelebrid                                                          |           77 |
|   11 | ace-wo-nerae                                                        |           53 |
|   12 | acme-animation-factory                                              |          128 |
|   13 | acrobat-mission                                                     |           62 |
|   14 | action-pachio                                                       |          148 |
|   15 | actraiser                                                           |          418 |
|   16 | actraiser-2                                                         |          211 |
|   17 | add-eye-of-the-beholder                                             |         1508 |
|   18 | addams-family-the                                                   |          212 |
|   19 | addams-family-the-pugsleys-scavenger-hunt                           |           11 |
|   20 | addams-family-values                                                |          323 |
|   21 | adventures-of-batman-robin-the                                      |          191 |
|   22 | adventures-of-dr-franken-the                                        |          145 |
|   23 | adventures-of-kid-kleets-the                                        |          184 |
|   24 | adventures-of-rocky-and-bullwinkle-and-friends-the                  |          139 |
|   25 | adventures-of-yogi-bear-[yogi-bears-cartoon-capers]                 |          202 |
|   26 | aero-fighters                                                       |           29 |
|   27 | aero-the-acro-bat                                                   |          316 |
|   28 | aero-the-acro-bat-2                                                 |          373 |
|   29 | aerobiz                                                             |          388 |
|   30 | aerobiz-supersonic                                                  |          349 |
|   31 | aging-cassette                                                      |            1 |
|   32 | air-cavalry                                                         |          202 |
|   33 | akagawa-jirou-majo-tachi-no-nemuri                                  |           31 |
|   34 | akazukin-cha-cha                                                    |          712 |
|   35 | al-unser-jrs-road-to-the-top                                        |           22 |
|   36 | aladdin                                                             |          107 |
|   37 | albert-odyssey                                                      |            5 |
|   38 | albert-odyssey-2-jashin-no-taidou                                   |            6 |
|   39 | alcahest                                                            |          272 |
|   40 | alice-no-paint-adventure                                            |           58 |
|   41 | alien-3                                                             |          578 |
|   42 | alien-vs-predator                                                   |          184 |
|   43 | american-battle-dome                                                |          100 |
|   44 | american-gladiators                                                 |           87 |
|   45 | american-tail-an-fievel-goes-west                                   |           86 |
|   46 | ancient-magic-bazoo-mahou-sekai                                     |         1336 |
|   47 | andre-agassi-tennis                                                 |            6 |
|   48 | angelique                                                           |          946 |
|   49 | animaniacs                                                          |           74 |
|   50 | animaniacs-1995                                                     |           57 |
|   51 | aoki-densetsu-shoot                                                 |          190 |
|   52 | apocalypse-2                                                        |           18 |
|   53 | appleseed-prometheus-no-shintaku                                    |          186 |
|   54 | arabian-nights-sabaku-no-seirei-ou                                  |         1629 |
|   55 | araiguma-rascal                                                     |           33 |
|   56 | arcana                                                              |         1304 |
|   57 | archer-macleans-super-dropzone                                      |            3 |
|   58 | arcus-spirits                                                       |          196 |
|   59 | ardy-lightfoot                                                      |          131 |
|   60 | aretha                                                              |          182 |
|   61 | aretha-2-ariel-no-fushigi-na-bouken                                 |           58 |
|   62 | arkanoid-doh-it-again                                               |           63 |
|   63 | art-of-fighting                                                     |           63 |
|   64 | aryol                                                               |          258 |
|   65 | asahi-shinbun-rensai-katou-hifumi-kudan-shogi-shingiryuu            |           14 |
|   66 | asameshimae-nyanko                                                  |            1 |
|   67 | ashita-no-joe                                                       |           42 |
|   68 | asp-air-strike-patrol                                               |          257 |
|   69 | asterix                                                             |           59 |
|   70 | asterix-obelix                                                      |          321 |
|   71 | astrohawk                                                           |            7 |
|   72 | axelay                                                              |           53 |
|   73 | bahamut-lagoon                                                      |          936 |
|   74 | bakukyuu-renpatsu-super-b-daman                                     |          175 |
|   75 | bakumatsu-kourinden-oni                                             |            2 |
|   76 | bakutou-dodgers-bumps-shima-wa-oosawagi                             |            6 |
|   77 | ball-bullet-gun                                                     |           42 |
|   78 | ballz-3d-fighting-at-its-ballziest                                  |           12 |
|   79 | barbie-super-model                                                  |           39 |
|   80 | barbie-vacation-adventure                                           |          121 |
|   81 | barkley-shut-up-and-jam                                             |           30 |
|   82 | bass-master-classic                                                 |           20 |
|   83 | bassins-black-bass                                                  |           37 |
|   84 | bastard-ankoku-no-hakaishin                                         |          137 |
|   85 | batman-forever                                                      |          420 |
|   86 | batman-returns                                                      |          118 |
|   87 | batman-revenge-of-the-joker                                         |            5 |
|   88 | battle-blaze                                                        |           49 |
|   89 | battle-cars                                                         |          215 |
|   90 | battle-cross                                                        |           96 |
|   91 | battle-dodgeball-ii                                                 |          130 |
|   92 | battle-dodgeball-toukyuu-daigekitotsu                               |           99 |
|   93 | battle-grand-prix                                                   |          410 |
|   94 | battle-jockey                                                       |           48 |
|   95 | battle-master-kyuukyoku-no-senshi-tachi                             |           51 |
|   96 | battle-pinball                                                      |           97 |
|   97 | battle-racers                                                       |          116 |
|   98 | battle-robot-retsuden                                               |          502 |
|   99 | battle-soccer-2                                                     |           13 |
|  100 | battle-soccer-field-no-hasha                                        |          323 |
|  101 | battle-submarine                                                    |            7 |
|  102 | battle-tycoon-flash-hiders-sfx                                      |          194 |
|  103 | battle-zeque-den                                                    |          194 |
|  104 | battleclash                                                         |           68 |
|  105 | battletoads-double-dragon-the-ultimate-team                         |           57 |
|  106 | battletoads-in-battlemaniacs                                        |            9 |
|  107 | bazooka-blitzkrieg                                                  |           79 |
|  108 | beauty-and-the-beast                                                |          102 |
|  109 | beavis-and-butt-head                                                |          128 |
|  110 | bebes-kids                                                          |          104 |
|  111 | beethoven-the-ultimate-canine-caper                                 |           58 |
|  112 | benkei-gaiden-suna-no-shou                                          |         1277 |
|  113 | best-of-the-best-championship-karate                                |           45 |
|  114 | big-sky-trooper                                                     |           26 |
|  115 | biker-mice-from-mars                                                |          227 |
|  116 | bill-laimbeers-combat-basketball                                    |         1398 |
|  117 | bill-walsh-college-football                                         |           22 |
|  118 | bing-bing-bingo                                                     |           35 |
|  119 | bio-metal                                                           |           68 |
|  120 | bishin-densetsu-zoku                                                |            9 |
|  121 | bishoujo-janshi-suchie-pai                                          |           15 |
|  122 | bishoujo-senshi-sailor-moon                                         |          224 |
|  123 | bishoujo-senshi-sailor-moon-another-story                           |         2147 |
|  124 | bishoujo-senshi-sailor-moon-r                                       |          120 |
|  125 | bishoujo-senshi-sailor-moon-s-juugai-rantou-shuyaku-soudatsusen     |           65 |
|  126 | bishoujo-senshi-sailor-moon-s-kondo-wa-puzzle-de-oshioki-yo         |            7 |
|  127 | bishoujo-senshi-sailor-moon-s-kurukkurin                            |           56 |
|  128 | bishoujo-senshi-sailor-moon-super-s-fuwa-fuwa-panic                 |          118 |
|  129 | bishoujo-senshi-sailor-moon-super-s-zenin-sanka-shuyaku-soudatsusen |           46 |
|  130 | bishoujo-wrestler-retsuden-blizzard-yuki-rannyuu                    |           16 |
|  131 | blazeon-the-bio-cyborg-challenge                                    |          122 |
|  132 | block-kuzushi                                                       |          288 |
|  133 | blues-brothers-the                                                  |           81 |
|  134 | bob                                                                 |          375 |
|  135 | bobbys-world                                                        |           71 |
|  136 | bomberman-b-daman                                                   |          131 |
|  137 | bonkers                                                             |           77 |
|  138 | boogerman-a-pick-and-flick-adventure                                |          140 |
|  139 | bouncing-ball-trainer                                               |            7 |
|  140 | bounty-sword                                                        |           21 |
|  141 | boxing-legends-of-the-ring-[chavez-ii]                              |          154 |
|  142 | brain-lord                                                          |          400 |
|  143 | brainies-the                                                        |          321 |
|  144 | bram-stokers-dracula                                                |            5 |
|  145 | brandish                                                            |          496 |
|  146 | brandish-2-the-planet-buster                                        |          158 |
|  147 | brawl-brothers                                                      |           55 |
|  148 | breakthru                                                           |           11 |
|  149 | breath-of-fire                                                      |          406 |
|  150 | breath-of-fire-2                                                    |         1499 |
