|      | game_id                                                                   |   segments |
|------|---------------------------------------------------------------------------|------------|
|    0 | romancing-saga-2                                                          |       3099 |
|    1 | bishoujo-senshi-sailor-moon                                               |       1951 |
|    2 | bishoujo-senshi-sailor-moon-another-story                                 |       1194 |
|    3 | super-shougi-3-kitaihei                                                   |       1178 |
|    4 | dragon-quest-vi-realms-of-reverie                                         |       1034 |
|    5 | metal-max-2                                                               |        993 |
|    6 | goods-press-gatsu-gou-3                                                   |        951 |
|    7 | mystic-ark                                                                |        944 |
|    8 | treasure-hunter-g                                                         |        883 |
|    9 | dragon-quest-v-hand-of-the-heavenly-bride                                 |        879 |
|   10 | dragon-ball-z-rpg-super-saiya-densetsu                                    |        853 |
|   11 | mahjong-taikai-ii                                                         |        830 |
|   12 | bs-dragon-quest                                                           |        822 |
|   13 | super-street-fighter-ii-the-new-challengers                               |        816 |
|   14 | bushi-seiryuuden-futari-no-yuusha                                         |        789 |
|   15 | daikaijuu-monogatari-2                                                    |        761 |
|   16 | dig-spike-volleyball                                                      |        694 |
|   17 | chrono-trigger                                                            |        681 |
|   18 | chrono-trigger-1995                                                       |        666 |
|   19 | slayers                                                                   |        665 |
|   20 | wizardry-vi-bane-of-the-cosmic-forge                                      |        665 |
|   21 | dragon-ball-z-chou-gokuu-den-kakusei-hen                                  |        662 |
|   22 | zenkoku-koukou-soccer                                                     |        658 |
|   23 | street-fighter-ii-turbo                                                   |        652 |
|   24 | inindo-way-of-the-ninja                                                   |        647 |
|   25 | arabian-nights-sabaku-no-seirei-ou                                        |        618 |
|   26 | mystery-circle                                                            |        614 |
|   27 | mortal-kombat-3                                                           |        607 |
|   28 | benkei-gaiden-suna-no-shou                                                |        592 |
|   29 | espn-sunday-night-nfl                                                     |        572 |
|   30 | romance-of-the-three-kingdoms-iii-dragon-of-destiny                       |        560 |
|   31 | hokuto-no-ken-5-tenma-ryuuseiden-ai-zesshou                               |        553 |
|   32 | metal-slader-glory-directors-cut                                          |        549 |
|   33 | der-langrisser                                                            |        547 |
|   34 | ultima-runes-of-virtue-ii                                                 |        544 |
|   35 | last-bible-iii                                                            |        535 |
|   36 | goods-press-gatsu-gou-7                                                   |        529 |
|   37 | cyber-knight                                                              |        523 |
|   38 | ultima-vii-the-black-gate                                                 |        520 |
|   39 | ncaa-football                                                             |        517 |
|   40 | fifa-soccer-97-1996                                                       |        517 |
|   41 | super-ninja-boy                                                           |        511 |
|   42 | breath-of-fire-2                                                          |        505 |
|   43 | angelique                                                                 |        505 |
|   44 | fifa-soccer-97                                                            |        501 |
|   45 | star-ocean                                                                |        501 |
|   46 | robotrek                                                                  |        500 |
|   47 | rudra-no-hihou                                                            |        498 |
|   48 | pac-in-time                                                               |        497 |
|   49 | metal-max-returns                                                         |        493 |
|   50 | tecmo-secret-of-the-stars                                                 |        490 |
|   51 | dragon-quest-i-ii                                                         |        483 |
|   52 | arcana                                                                    |        480 |
|   53 | lufia-ii-rise-of-the-sinistrals-[lufia]-1994                              |        479 |
|   54 | dual-orb-ii                                                               |        479 |
|   55 | shadowrun                                                                 |        473 |
|   56 | mega-man-soccer                                                           |        471 |
|   57 | wwf-royal-rumble                                                          |        470 |
|   58 | gemfire                                                                   |        470 |
|   59 | lufia-ii-rise-of-the-sinistrals-[lufia]                                   |        469 |
|   60 | mortal-kombat-2                                                           |        468 |
|   61 | tetris-2                                                                  |        468 |
|   62 | marvelous-mou-hitotsu-no-takarajima                                       |        467 |
|   63 | dragon-view                                                               |        466 |
|   64 | gokinjo-bouken-tai                                                        |        465 |
|   65 | f1-pole-position                                                          |        464 |
|   66 | zan-ii-spirits                                                            |        452 |
|   67 | captain-tsubasa-iii-koutei-no-chousen                                     |        449 |
|   68 | magic-knight-rayearth                                                     |        445 |
|   69 | virtual-soccer                                                            |        444 |
|   70 | equinox                                                                   |        441 |
|   71 | jimmy-connors-pro-tennis-tour                                             |        428 |
|   72 | super-tennis                                                              |        426 |
|   73 | super-formation-soccer-ii                                                 |        422 |
|   74 | numbers-paradise                                                          |        420 |
|   75 | zenkoku-koukou-soccer-senshuken-96                                        |        414 |
|   76 | boxing-legends-of-the-ring-[chavez-ii]                                    |        413 |
|   77 | cb-chara-wars-ushinawareta-gag                                            |        409 |
|   78 | simcity                                                                   |        408 |
|   79 | super-mario-world-2-yoshis-island                                         |        407 |
|   80 | super-big-2                                                               |        406 |
|   81 | illusion-of-gaia-[illusion-of-time]                                       |        404 |
|   82 | head-on-soccer                                                            |        404 |
|   83 | live-a-live                                                               |        402 |
|   84 | lennus-ii-fuuin-no-shito                                                  |        399 |
|   85 | maka-maka                                                                 |        394 |
|   86 | tenchi-muyou-game-hen                                                     |        392 |
|   87 | f1-pole-position-2                                                        |        383 |
|   88 | nobunaga-kouki                                                            |        382 |
|   89 | verne-world                                                               |        380 |
|   90 | madou-monogatari-hanamaru-daiyouchienji                                   |        378 |
|   91 | dragon-ball-z-chou-gokuu-den-totsugeki-hen                                |        377 |
|   92 | hi-no-ouji-yamato-takeru                                                  |        377 |
|   93 | populous-ii-trials-of-the-olympian-gods                                   |        375 |
|   94 | harvest-moon                                                              |        374 |
|   95 | super-mahjong-taikai                                                      |        370 |
