video,soundtrack,input_confidence,fingerprint_confidence
3-ninjas-kick-back_00001.mp4,soundtrack_0013,0.67,0.08
3-ninjas-kick-back_00003.mp4,soundtrack_0013,0.46,0.04
3-ninjas-kick-back_00005.mp4,soundtrack_0009,0.38,0.06
3-ninjas-kick-back_00007.mp4,soundtrack_0009,0.47,0.07
3-ninjas-kick-back_00009.mp4,soundtrack_0009,0.33,0.04
3-ninjas-kick-back_00011.mp4,soundtrack_0013,0.63,0.05
3-ninjas-kick-back_00013.mp4,None,None,None
3-ninjas-kick-back_00015.mp4,None,None,None
3-ninjas-kick-back_00017.mp4,soundtrack_0009,0.48,0.07
3-ninjas-kick-back_00019.mp4,soundtrack_0009,0.15,0.03
3-ninjas-kick-back_00021.mp4,None,None,None
3-ninjas-kick-back_00023.mp4,soundtrack_0012,0.28,0.05
3-ninjas-kick-back_00025.mp4,soundtrack_0009,0.14,0.02
3-ninjas-kick-back_00027.mp4,soundtrack_0013,0.33,0.04
3-ninjas-kick-back_00029.mp4,soundtrack_0009,0.12,0.02
3-ninjas-kick-back_00031.mp4,soundtrack_0009,0.56,0.08
3-ninjas-kick-back_00033.mp4,soundtrack_0009,0.57,0.06
3-ninjas-kick-back_00035.mp4,soundtrack_0012,0.12,0.01
3-ninjas-kick-back_00037.mp4,soundtrack_0010,0.17,0.07
3-ninjas-kick-back_00039.mp4,soundtrack_0010,0.12,0.05
3-ninjas-kick-back_00041.mp4,soundtrack_0010,0.11,0.03
3-ninjas-kick-back_00043.mp4,soundtrack_0010,0.23,0.05
3-ninjas-kick-back_00045.mp4,soundtrack_0012,0.26,0.07
3-ninjas-kick-back_00047.mp4,soundtrack_0008,0.96,0.01
3-ninjas-kick-back_00049.mp4,None,None,None
3-ninjas-kick-back_00051.mp4,soundtrack_0005,0.75,0.27
3-ninjas-kick-back_00053.mp4,soundtrack_0005,0.43,0.14
3-ninjas-kick-back_00055.mp4,soundtrack_0005,0.52,0.16
3-ninjas-kick-back_00057.mp4,soundtrack_0005,0.71,0.16
3-ninjas-kick-back_00059.mp4,soundtrack_0005,0.44,0.13
3-ninjas-kick-back_00061.mp4,soundtrack_0005,0.4,0.17
3-ninjas-kick-back_00063.mp4,soundtrack_0005,0.52,0.12
3-ninjas-kick-back_00065.mp4,soundtrack_0003,0.84,0.03
3-ninjas-kick-back_00067.mp4,soundtrack_0003,2.05,0.14
3-ninjas-kick-back_00069.mp4,soundtrack_0003,2.44,0.11
3-ninjas-kick-back_00071.mp4,soundtrack_0003,1.12,0.07
3-ninjas-kick-back_00073.mp4,soundtrack_0003,0.43,0.03
3-ninjas-kick-back_00075.mp4,soundtrack_0003,1.9,0.09
3-ninjas-kick-back_00077.mp4,soundtrack_0003,1.41,0.1
3-ninjas-kick-back_00079.mp4,soundtrack_0003,1.66,0.09
3-ninjas-kick-back_00081.mp4,soundtrack_0003,1.3,0.08
3-ninjas-kick-back_00083.mp4,soundtrack_0003,1.34,0.08
3-ninjas-kick-back_00085.mp4,soundtrack_0003,0.41,0.06
3-ninjas-kick-back_00087.mp4,soundtrack_0012,0.26,0.07
3-ninjas-kick-back_00089.mp4,soundtrack_0004,0.9,0.05
3-ninjas-kick-back_00091.mp4,soundtrack_0002,0.3,0.03
3-ninjas-kick-back_00093.mp4,soundtrack_0002,0.59,0.06
3-ninjas-kick-back_00095.mp4,soundtrack_0002,0.38,0.04
3-ninjas-kick-back_00097.mp4,soundtrack_0002,0.18,0.02
3-ninjas-kick-back_00099.mp4,soundtrack_0002,0.43,0.05
3-ninjas-kick-back_00101.mp4,soundtrack_0002,0.97,0.08
3-ninjas-kick-back_00103.mp4,soundtrack_0002,0.62,0.06
3-ninjas-kick-back_00105.mp4,soundtrack_0002,0.09,0.01
3-ninjas-kick-back_00107.mp4,soundtrack_0002,0.6,0.07
3-ninjas-kick-back_00109.mp4,soundtrack_0002,0.44,0.05
3-ninjas-kick-back_00111.mp4,soundtrack_0002,0.38,0.04
3-ninjas-kick-back_00113.mp4,soundtrack_0002,0.59,0.06
3-ninjas-kick-back_00115.mp4,soundtrack_0002,0.36,0.04
3-ninjas-kick-back_00117.mp4,soundtrack_0003,0.06,0.01
3-ninjas-kick-back_00119.mp4,soundtrack_0007,0.08,0.04
3-ninjas-kick-back_00121.mp4,soundtrack_0004,0.66,0.12
3-ninjas-kick-back_00123.mp4,soundtrack_0004,1.38,0.16
3-ninjas-kick-back_00125.mp4,soundtrack_0008,1.34,0.13
3-ninjas-kick-back_00127.mp4,soundtrack_0008,2.16,0.18
3-ninjas-kick-back_00129.mp4,soundtrack_0008,1.06,0.12
3-ninjas-kick-back_00131.mp4,soundtrack_0008,0.77,0.06
3-ninjas-kick-back_00133.mp4,soundtrack_0008,1.35,0.13
3-ninjas-kick-back_00135.mp4,soundtrack_0008,1.78,0.16
3-ninjas-kick-back_00137.mp4,soundtrack_0008,0.66,0.09
3-ninjas-kick-back_00139.mp4,soundtrack_0008,0.47,0.06
3-ninjas-kick-back_00141.mp4,soundtrack_0008,2.85,0.23
3-ninjas-kick-back_00143.mp4,soundtrack_0008,2.28,0.18
3-ninjas-kick-back_00145.mp4,soundtrack_0008,2.71,0.21
3-ninjas-kick-back_00147.mp4,soundtrack_0008,0.79,0.08
3-ninjas-kick-back_00149.mp4,soundtrack_0008,1.08,0.11
3-ninjas-kick-back_00151.mp4,soundtrack_0008,0.99,0.11
